station_id,name,rental_method,capacity,lat,lon,location
52,Flagstaff Gardens - Peel St - West Melbourne,"CREDITCARD,KEY",11,-37.809216,144.955223,"(-37.809216, 144.955223)"
17,Yarra's Point - Lorimer St / Yarra River - Docklands,"CREDITCARD,KEY",15,-37.823805,144.943051,"(-37.823805, 144.943051)"
25,Sandridge Bridge - Southbank,"CREDITCARD,KEY",27,-37.820836,144.962266,"(-37.820836, 144.962266)"
39,Richmond Station - Brunton Ave - East Melbourne,"CREDITCARD,KEY",19,-37.822962,144.988507,"(-37.822962, 144.988507)"
18,Argyle Square - Lygon St - Carlton,"CREDITCARD,KEY",11,-37.802129,144.96677,"(-37.802129, 144.96677)"
37,University Square - Grattan St - Carlton,"CREDITCARD,KEY",15,-37.800214,144.960313,"(-37.800214, 144.960313)"
49,Jolimont Station - Wellington Pde South - East Melbourne,"CREDITCARD,KEY",11,-37.816731,144.982006,"(-37.816731, 144.982006)"
50,ACCA - Sturt St - Southbank,"CREDITCARD,KEY",23,-37.826578,144.966542,"(-37.826578, 144.966542)"
47,VCAM - St Kilda Rd / Southbank Blvd - Southbank,"CREDITCARD,KEY",11,-37.824088,144.970085,"(-37.824088, 144.970085)"
34,RACV - Bourke St / New Chancery Ln - City,"CREDITCARD,KEY",11,-37.81523,144.95973100000003,"(-37.81523, 144.95973100000003)"
24,North Melbourne Station - Adderley St - North Melbourne,"CREDITCARD,KEY",19,-37.807021,144.941854,"(-37.807021, 144.941854)"
51,ANZ - Collins St - Docklands,"CREDITCARD,KEY",19,-37.821568,144.944488,"(-37.821568, 144.944488)"
29,Southern Cross Station - Spencer St - City,"CREDITCARD,KEY",27,-37.818124,144.953581,"(-37.818124, 144.953581)"
8,Melbourne Uni - Tin Alley - Carlton,"CREDITCARD,KEY",19,-37.79625,144.960858,"(-37.79625, 144.960858)"
57,Fitzroy Street - St Kilda,"CREDITCARD,KEY",31,-37.858655,144.978818,"(-37.858655, 144.978818)"
36,Napier St / Victoria Pde - Fitzroy,"CREDITCARD,KEY",11,-37.808266,144.979005,"(-37.808266, 144.979005)"
41,Domain Interchange - Park St / St Kilda Rd - Melbourne,"CREDITCARD,KEY",15,-37.832396,144.971678,"(-37.832396, 144.971678)"
46,South Melbourne Market - York St / Cecil St - South Melbourne,"CREDITCARD,KEY",15,-37.831475,144.957511,"(-37.831475, 144.957511)"
35,Yorkshire Brewery - Wellington St - Collingwood,"CREDITCARD,KEY",7,-37.805997,144.986953,"(-37.805997, 144.986953)"
30,Gasworks Arts Park - Pickles St - Albert Park,"CREDITCARD,KEY",11,-37.842174,144.946051,"(-37.842174, 144.946051)"
38,Aquarium - Kings Way / Flinders St - City,"CREDITCARD,KEY",11,-37.821324,144.958318,"(-37.821324, 144.958318)"
20,Parliament Station - Nicholson St / Albert St - City,"CREDITCARD,KEY",15,-37.809072,144.972762,"(-37.809072, 144.972762)"
2,Harbour Town - Docklands Dve - Docklands,"CREDITCARD,KEY",23,-37.814022,144.939521,"(-37.814022, 144.939521)"
42,Kings Way / St Kilda Rd - Melbourne,"CREDITCARD,KEY",27,-37.836323,144.975162,"(-37.836323, 144.975162)"
10,St Paul's Cathedral - Swanston St / Flinders St - City,"CREDITCARD,KEY",11,-37.817189,144.967409,"(-37.817189, 144.967409)"
43,Spring St / Collins St - City,"CREDITCARD,KEY",11,-37.813774,144.974054,"(-37.813774, 144.974054)"
21,Bridport St / Montague St - Albert Park,"CREDITCARD,KEY",23,-37.840885,144.955303,"(-37.840885, 144.955303)"
12,Fitzroy Town Hall - Moor St - Fitzroy,"CREDITCARD,KEY",11,-37.801813,144.979209,"(-37.801813, 144.979209)"
9,RMIT - Swanston St / Franklin St - City,"CREDITCARD,KEY",7,-37.807699,144.963095,"(-37.807699, 144.963095)"
