LA code,Local Authority,Year,Frequency,Walking_%,Cycling_%
E09000001,City of London,2010/11,1x per month,78,30
E09000002,Barking and Dagenham,2010/11,1x per month,60,8
E09000003,Barnet,2010/11,1x per month,65,10
E09000004,Bexley,2010/11,1x per month,65,11
E09000005,Brent,2010/11,1x per month,62,14
E09000006,Bromley,2010/11,1x per month,68,14
E09000007,Camden,2010/11,1x per month,83,20
E09000008,Croydon,2010/11,1x per month,66,15
E09000009,Ealing,2010/11,1x per month,61,15
E09000010,Enfield,2010/11,1x per month,68,13
E09000011,Greenwich,2010/11,1x per month,71,12
E09000012,Hackney,2010/11,1x per month,75,26
E09000013,Hammersmith and Fulham,2010/11,1x per month,74,20
E09000014,Haringey,2010/11,1x per month,72,14
E09000015,Harrow,2010/11,1x per month,60,10
E09000016,Havering,2010/11,1x per month,65,10
E09000017,Hillingdon,2010/11,1x per month,60,8
E09000018,Hounslow,2010/11,1x per month,67,16
E09000019,Islington,2010/11,1x per month,77,19
E09000020,Kensington and Chelsea,2010/11,1x per month,79,20
E09000021,Kingston upon Thames,2010/11,1x per month,69,16
E09000022,Lambeth,2010/11,1x per month,73,22
E09000023,Lewisham,2010/11,1x per month,73,16
E09000024,Merton,2010/11,1x per month,66,18
E09000025,Newham,2010/11,1x per month,64,11
E09000026,Redbridge,2010/11,1x per month,63,11
E09000027,Richmond upon Thames,2010/11,1x per month,80,30
E09000028,Southwark,2010/11,1x per month,75,20
E09000029,Sutton,2010/11,1x per month,74,15
E09000030,Tower Hamlets,2010/11,1x per month,70,16
E09000031,Waltham Forest,2010/11,1x per month,69,14
E09000032,Wandsworth,2010/11,1x per month,82,20
E09000033,Westminster,2010/11,1x per month,78,21
E12000001,North East,2010/11,1x per month,69,13
E12000002,North West,2010/11,1x per month,70,13
E12000003,Yorkshire and the Humber,2010/11,1x per month,71,13
E12000004,East Midlands,2010/11,1x per month,71,15
E12000005,West Midlands,2010/11,1x per month,68,12
E12000006,East of England,2010/11,1x per month,70,17
E12000007,London,2010/11,1x per month,70,16
E12000008,South East,2010/11,1x per month,73,18
E12000009,South West,2010/11,1x per month,74,17
E92000001,ENGLAND,2010/11,1x per month,71,15
E09000001,City of London,2010/11,1x per week,68,30
E09000002,Barking and Dagenham,2010/11,1x per week,47,5
E09000003,Barnet,2010/11,1x per week,50,6
E09000004,Bexley,2010/11,1x per week,48,6
E09000005,Brent,2010/11,1x per week,46,9
E09000006,Bromley,2010/11,1x per week,53,10
E09000007,Camden,2010/11,1x per week,66,16
E09000008,Croydon,2010/11,1x per week,49,8
E09000009,Ealing,2010/11,1x per week,42,10
E09000010,Enfield,2010/11,1x per week,52,9
E09000011,Greenwich,2010/11,1x per week,54,7
E09000012,Hackney,2010/11,1x per week,58,20
E09000013,Hammersmith and Fulham,2010/11,1x per week,60,14
E09000014,Haringey,2010/11,1x per week,54,11
E09000015,Harrow,2010/11,1x per week,42,5
E09000016,Havering,2010/11,1x per week,49,7
E09000017,Hillingdon,2010/11,1x per week,47,4
E09000018,Hounslow,2010/11,1x per week,47,11
E09000019,Islington,2010/11,1x per week,58,13
E09000020,Kensington and Chelsea,2010/11,1x per week,62,11
E09000021,Kingston upon Thames,2010/11,1x per week,55,9
E09000022,Lambeth,2010/11,1x per week,57,18
E09000023,Lewisham,2010/11,1x per week,55,10
E09000024,Merton,2010/11,1x per week,49,15
E09000025,Newham,2010/11,1x per week,46,8
E09000026,Redbridge,2010/11,1x per week,47,7
E09000027,Richmond upon Thames,2010/11,1x per week,57,21
E09000028,Southwark,2010/11,1x per week,57,16
E09000029,Sutton,2010/11,1x per week,59,9
E09000030,Tower Hamlets,2010/11,1x per week,51,11
E09000031,Waltham Forest,2010/11,1x per week,50,8
E09000032,Wandsworth,2010/11,1x per week,67,15
E09000033,Westminster,2010/11,1x per week,60,13
E12000001,North East,2010/11,1x per week,55,8
E12000002,North West,2010/11,1x per week,55,8
E12000003,Yorkshire and the Humber,2010/11,1x per week,57,9
E12000004,East Midlands,2010/11,1x per week,55,9
E12000005,West Midlands,2010/11,1x per week,53,7
E12000006,East of England,2010/11,1x per week,54,11
E12000007,London,2010/11,1x per week,53,11
E12000008,South East,2010/11,1x per week,56,11
E12000009,South West,2010/11,1x per week,58,11
E92000001,ENGLAND,2010/11,1x per week,55,10
E09000001,City of London,2010/11,3x per week,31,29
E09000002,Barking and Dagenham,2010/11,3x per week,28,2
E09000003,Barnet,2010/11,3x per week,24,3
E09000004,Bexley,2010/11,3x per week,27,2
E09000005,Brent,2010/11,3x per week,22,3
E09000006,Bromley,2010/11,3x per week,29,3
E09000007,Camden,2010/11,3x per week,35,7
E09000008,Croydon,2010/11,3x per week,26,4
E09000009,Ealing,2010/11,3x per week,19,6
E09000010,Enfield,2010/11,3x per week,31,4
